"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","pide","willing_friend_ai_1","willing_romantic_ai_1","wtp_ai","true_ai_1","talk_listen_ai_1","not_judge_ai_1","feel_ai_1","understand_ai_1","body_ai_1","not_mutual_ai_1","nonMember_AI_1","willing_friend_h_1","willing_romantic_h_1","wtp_h","true_h_1","talk_listen_h_1","judge_h_1","understand_h_1","feel_h_1","body_h_1","mutual_h_1","nonMember_h_1","comp_1","comp_2","loneliness_1_1","loneliness_2_1","loneliness_3_1","sensation_1_1","sensation_2_1","sensation_3_1","sensation_4_1","sensation_5_1","sensation_6_1","sensation_7_1","sensation_8_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","PROLIFIC_PID","CONDITION"
"18",18,"2023-08-27 10:48:12","2023-08-27 10:55:33","0","Anonymized","100","440","1","2023-08-27 10:55:33","R_2q8bOZWQCY6TX3L","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","50","1","100","90","75","100","8","100","100","100","","","","","","","","","","","","2","2","75","50","90","50","80","10","0","20","30","0","0","2","","1","","3","","68","3","","70","Anonymized","1"
"19",19,"2023-08-27 10:51:16","2023-08-27 10:57:02","0","Anonymized","100","346","1","2023-08-27 10:57:03","R_6hAKDXviEZFi3JL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","8","0","0.00","100","69","53","100","61","100","100","52","","","","","","","","","","","","2","2","46","29","72","84","39","20","58","100","54","83","26","2","","2","","3","","58","4","","100","Anonymized","1"
"20",20,"2023-08-27 10:52:16","2023-08-27 10:57:08","0","Anonymized","100","292","1","2023-08-27 10:57:09","R_3mk0ubJvEosCoTv","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","60","66","5.00","90","100","94","92","10","100","10","100","","","","","","","","","","","","2","2","10","15","15","95","0","85","60","100","80","90","85","2","","1","","3","","53","2","","85","Anonymized","1"
"21",21,"2023-08-27 10:47:51","2023-08-27 10:58:05","0","Anonymized","100","613","1","2023-08-27 10:58:05","R_24MYSbr6cZusyXi","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","60","52","0","86","20","19","72","81","95","44","87","1","2","100","99","97","40","86","67","100","80","96","94","99","2","","1","","3","","51","4","","81","Anonymized","2"
"22",22,"2023-08-27 10:53:25","2023-08-27 10:58:17","0","Anonymized","100","291","1","2023-08-27 10:58:17","R_3MR0kLUfvrSWH6D","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0","100","50","50","50","50","100","50","18","1","2","0","19","0","70","72","0","0","81","0","0","0","2","I've used AI Chat but not a companion app","2","","3","","55","2","","80","Anonymized","2"
"23",23,"2023-08-27 10:55:12","2023-08-27 10:58:30","0","Anonymized","100","198","1","2023-08-27 10:58:31","R_AmwHKON1bhQe569","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","70","30","1","80","40","30","70","70","70","80","20","1","2","70","69","65","80","30","40","0","60","65","100","35","2","","1","","4","","23","4","","70","Anonymized","2"
"24",24,"2023-08-27 10:41:49","2023-08-27 10:59:53","0","Anonymized","100","1083","1","2023-08-27 10:59:53","R_1pFqKvaM5thHNeT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","5","10","5.99","87","56","46","93","6","100","99","8","","","","","","","","","","","","2","2","30","65","95","56","19","30","0","100","50","59","51","1","I’ve used chat GBT it comes with the Snapchat app ","1","","1","","26","1","","85","Anonymized","1"
"25",25,"2023-08-27 10:53:42","2023-08-27 11:00:16","0","Anonymized","100","393","1","2023-08-27 11:00:16","R_21hNxLSzBHLQrLN","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","30","20","3","100","100","100","100","40","100","100","100","","","","","","","","","","","","2","2","20","10","20","30","60","30","0","10","0","0","20","2","","1","","3","","39","3","","100","Anonymized","1"
"26",26,"2023-08-27 10:56:58","2023-08-27 11:00:49","0","Anonymized","100","230","1","2023-08-27 11:00:50","R_3enn7bc9qUH9kZo","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","9","0","5.00","40","76","30","30","81","95","40","29","1","2","10","8","8","90","65","34","29","81","30","9","9","2","","2","","3","","43","3","","90","Anonymized","2"
"27",27,"2023-08-27 10:57:02","2023-08-27 11:01:22","0","Anonymized","100","260","1","2023-08-27 11:01:23","R_2ceKTbtSgO2DZXA","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0","60","85","50","70","25","100","30","20","","","","","","","","","","","","2","2","15","10","0","50","30","30","10","75","30","10","10","2","","2","","4","","30","7","","90","Anonymized","1"
"28",28,"2023-08-27 10:57:12","2023-08-27 11:02:01","0","Anonymized","100","289","1","2023-08-27 11:02:02","R_3eqcQoRv90eYsyX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","50","30","1","61","55","40","60","60","90","40","30","2","2","28","32","28","71","61","56","14","22","70","0","25","2","","1","","3","","32","5","","60","Anonymized","2"
"29",29,"2023-08-27 10:57:56","2023-08-27 11:02:02","0","Anonymized","100","246","1","2023-08-27 11:02:03","R_31bB5gNy23KVSoO","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0.00","100","90","50","100","100","100","100","0","","","","","","","","","","","","2","2","19","14","18","80","10","20","8","81","81","0","19","2","","1","","3","","72","4","","9","Anonymized","1"
"30",30,"2023-08-27 10:57:22","2023-08-27 11:02:26","0","Anonymized","100","304","1","2023-08-27 11:02:26","R_exkDK3Tn0HbtBgB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","15","5","0.00","100","80","61","100","100","100","100","90","","","","","","","","","","","","2","2","80","30","50","40","40","20","13","50","29","0","25","2","","1","","3","","67","3","","40","Anonymized","1"
"31",31,"2023-08-27 11:00:14","2023-08-27 11:03:16","0","Anonymized","100","181","1","2023-08-27 11:03:16","R_3PdUFYK6HN7e9eA","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0.00","100","10","60","100","100","100","100","80","","","","","","","","","","","","2","2","0","0","0","0","33","0","0","0","40","0","0","2","","1","","3","","58","5","","0","Anonymized","1"
"32",32,"2023-08-27 11:02:51","2023-08-27 11:03:22","0","Anonymized","100","30","1","2023-08-27 11:03:22","R_2eakDwVYXwqEgtf","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
"33",33,"2023-08-27 11:00:38","2023-08-27 11:03:35","0","Anonymized","100","176","1","2023-08-27 11:03:36","R_1KwodDthKML9CU8","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","32","16","1.00","67","59","54","29","50","81","30","15","1","2","58","63","54","63","67","55","42","54","58","72","40","2","","2","","3","","21","4","","79","Anonymized","2"
"34",34,"2023-08-27 11:00:14","2023-08-27 11:03:52","0","Anonymized","100","217","1","2023-08-27 11:03:52","R_2VOyhLfVNX3hu6T","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","8","0","5","90","53","56","83","63","100","95","80","","","","","","","","","","","","2","2","55","45","50","80","73","40","11","43","68","7","47","2","","2","","3","","21","1","","10","Anonymized","1"
"35",35,"2023-08-27 10:59:25","2023-08-27 11:04:33","0","Anonymized","100","307","1","2023-08-27 11:04:33","R_3MihVUspl1Wdvs7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","0","0","100","0","50","50","100","100","100","100","2","2","0","0","0","85","50","0","0","75","50","100","1","1","I have heard of AI apps.","2","","3","","71","4","","0","Anonymized","2"
"36",36,"2023-08-27 11:01:05","2023-08-27 11:04:45","0","Anonymized","100","219","1","2023-08-27 11:04:45","R_RFeMZ1bEw3SjVG9","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","0","1","0.00","70","20","10","25","65","100","60","65","1","2","5","10","5","55","15","10","10","60","15","10","3","2","","1","","3","","36","7","","60","Anonymized","2"
"37",37,"2023-08-27 11:01:49","2023-08-27 11:04:46","0","Anonymized","100","176","1","2023-08-27 11:04:47","R_aVJhdDle11zBNaF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","25","0","1","100","68","26","100","9","100","89","100","","","","","","","","","","","","2","2","8","14","43","92","75","40","11","74","29","2","97","2","","1","","3","","32","3","","81","Anonymized","1"
"38",38,"2023-08-27 11:00:43","2023-08-27 11:05:11","0","Anonymized","100","267","1","2023-08-27 11:05:11","R_DhKTXpUCvDdQTvj","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","20","10","5","50","5","0","10","0","98","50","50","1","2","50","40","50","30","20","0","10","50","50","0","10","2","","2","","3","","54","2","","20","Anonymized","2"
"39",39,"2023-08-27 11:02:45","2023-08-27 11:05:25","0","Anonymized","100","160","1","2023-08-27 11:05:26","R_2bP3pAzurqjwFLH","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","45","24","2.50","25","11","30","4","10","32","33","18","1","2","29","37","19","81","60","41","0","35","75","55","5","2","","1","","3","","30","4","","31","Anonymized","2"
"40",40,"2023-08-27 11:01:21","2023-08-27 11:05:33","0","Anonymized","100","252","1","2023-08-27 11:05:34","R_8x1UQOLUkDrMyzL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","50","50","0","100","50","50","100","80","100","100","0","","","","","","","","","","","","1","2","40","20","60","50","20","0","0","50","50","0","0","2","","3","","2","","25","4","","50","Anonymized","1"
"41",41,"2023-08-27 11:02:38","2023-08-27 11:06:31","0","Anonymized","100","232","1","2023-08-27 11:06:31","R_1rxLMNhh10BChd2","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","0","0.00","100","100","100","100","90","100","100","100","","","","","","","","","","","","2","2","70","60","85","70","70","70","70","75","70","75","55","2","","1","","3","","29","1","","90","Anonymized","1"
"42",42,"2023-08-27 11:03:50","2023-08-27 11:06:47","0","Anonymized","100","177","1","2023-08-27 11:06:48","R_1MYyxntnBVLudkb","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","1","0","0","22","6","22","87","0","100","19","70","1","2","100","88","99","84","34","38","27","15","24","49","47","2","","1","","3","","22","3","","31","Anonymized","2"
"43",43,"2023-08-27 11:02:50","2023-08-27 11:06:53","0","Anonymized","100","242","1","2023-08-27 11:06:54","R_2sTrqaEz3I01d6S","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","22","30","1","31","29","31","30","30","83","35","28","1","2","77","79","78","50","55","44","19","72","34","73","25","2","","2","","3","","27","4","","45","Anonymized","2"
"44",44,"2023-08-27 11:00:47","2023-08-27 11:06:57","0","Anonymized","100","369","1","2023-08-27 11:06:57","R_2fj1uz7XRsm36oT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","50","6","5.00","34","86","50","67","41","21","26","33","1","2","82","100","97","80","18","21","0","40","15","0","20","1","replika ","1","","4","","42","3","","56","Anonymized","2"
"45",45,"2023-08-27 11:05:18","2023-08-27 11:07:06","0","Anonymized","100","108","1","2023-08-27 11:07:07","R_3G9UYdPAhG1XY8Q","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
"46",46,"2023-08-27 11:03:51","2023-08-27 11:07:45","0","Anonymized","100","233","1","2023-08-27 11:07:45","R_12EA00RLtBA8sMI","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","0","0","100","40","60","100","30","100","100","75","","","","","","","","","","","","2","2","40","40","40","60","30","30","20","60","40","30","30","2","","1","","3","","37","4","","20","Anonymized","1"
"47",47,"2023-08-27 11:03:44","2023-08-27 11:08:24","0","Anonymized","100","280","1","2023-08-27 11:08:25","R_22s5TiqFWnzBkRe","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","39","0","2","87","82","76","86","71","97","72","0","","","","","","","","","","","","2","2","3","7","4","67","40","3","21","22","28","0","0","1","snapchat AI ","2","","2","","24","4","","50","Anonymized","1"
"48",48,"2023-08-27 11:01:37","2023-08-27 11:08:29","0","Anonymized","100","412","1","2023-08-27 11:08:30","R_1roiLr1JoOLgqJc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","100","60","5","40","50","30","0","0","80","40","0","1","2","90","85","80","75","50","40","95","50","60","0","60","2","","2","","3","","26","1","","50","Anonymized","2"
"49",49,"2023-08-27 11:00:01","2023-08-27 11:08:57","0","Anonymized","100","535","1","2023-08-27 11:08:57","R_2YhoQkJRroQYal3","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0.00","86","66","76","100","63","78","38","93","","","","","","","","","","","","2","2","38","27","25","11","92","0","1","6","4","0","3","2","","2","","3","","66","5","","32","Anonymized","1"
"50",50,"2023-08-27 11:03:15","2023-08-27 11:09:02","0","Anonymized","100","347","1","2023-08-27 11:09:03","R_2dncws9vM0s9bz9","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","30","5","1.00","70","100","50","100","30","100","80","70","","","","","","","","","","","","1","2","60","50","30","61","60","10","0","70","10","10","0","2","","1","","3","","61","4","","60","Anonymized","1"
"51",51,"2023-08-27 11:08:23","2023-08-27 11:12:25","0","Anonymized","100","242","1","2023-08-27 11:12:26","R_cT3Nh6mDFy7Q4JX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","10","0","5","100","90","50","100","40","100","60","60","","","","","","","","","","","","2","2","70","30","40","20","90","0","20","80","40","10","10","2","","2","","3","","24","4","","70","Anonymized","1"
"52",52,"2023-08-27 10:48:27","2023-08-27 11:13:14","0","Anonymized","100","1487","1","2023-08-27 11:13:15","R_3m1SxUqS178SlBc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","61","50","1","32","36","13","20","0","81","49","34","1","2","85","80","66","71","67","31","14","79","33","0","81","2","","2","","5","","50","8","Some high school ","76","Anonymized","2"
"53",53,"2023-08-27 11:07:31","2023-08-27 11:13:43","0","Anonymized","100","372","1","2023-08-27 11:13:44","R_3GwtLo5XIS4lrZS","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","50","50","1","50","50","29","50","29","100","50","18","1","2","92","65","63","81","85","50","64","92","60","34","50","2","","1","","3","","53","1","","50","Anonymized","2"
"54",54,"2023-08-27 11:02:15","2023-08-27 11:28:51","0","Anonymized","100","1595","1","2023-08-27 11:28:51","R_wSLImM24C7P4deV","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","Anonymized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized",""
