"","X","Unnamed..0.1","Unnamed..0","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged","AppendedHumanMessages","AppendedAIMessages","FullChatlog","HumanMessageCount","AIMessageCount","HumanWordCounts","AIWordCounts","AvgHumanWordCount","AvgAIWordCount","SumHumanCharCount","SumAICharCount","ResponseTimes","AICompoundSentiments","HumanCompoundSentiments","AvgAICompoundSentiment","AvgHumanCompoundSentiment","AvgResponseTime","AvgSimSpacy","AvgSimTurnLength","AvgSimValence","AvgSimStyleMatching"
"11",10,173,215,"ai","yes",83,82,5,71,98,99,100,0,100,2,2,NA,11,"",25,26,11,2,"",1,NA,4,NA,33,3,NA,77,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",19,20,"[7, 16, 14, 8, 12, 11, 4, 6, 9, 10, 10, 15, 11, 17, 18, 10, 17, 16, 7]","[5, 22, 31, 21, 25, 33, 21, 1, 22, 14, 28, 46, 37, 38, 22, 22, 30, 29, 21, 12]",11.4736842105263,24,1147,2660,"[42.433494, 55.161423, 38.485592, 28.194096000000002, 29.043477000000003, 32.69543, 51.697970000000005, 19.780057, 17.082075, 37.865528000000005, 21.296975, 68.04961200000001, 84.260745, 39.225409, 84.157062, 27.059884, 54.247817999999995, 36.854248, 35.249286999999995]","[0.0, 0.883, 0.765, 0.6588, 0.8516, 0.9169, 0.6696, 0.0, 0.8217, 0.7777, 0.7825, 0.7579, -0.9225, 0.6943, -0.5111, 0.7088, 0.8885, 0.8398, 0.855, 0.4767]","[0.6486, 0.8442, 0.0, -0.636, 0.7184, 0.836, 0.296, 0.4019, 0.4019, -0.6808, 0.4404, -0.4767, -0.4767, -0.3612, 0.0, -0.5994, 0.8834, 0.0, 0.0]",0.54571,0.117894736842105,42.2547464210526,77.0185319887173,62.9905854003281,71.4407047140372,83.2033752722906
"12",11,174,262,"ai","yes",60,0,5,70,100,50,50,83,100,2,2,NA,12,"",30,13,15,2,"",1,NA,3,NA,33,1,NA,32,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",17,18,"[10, 22, 11, 23, 21, 6, 13, 8, 9, 12, 23, 7, 15, 7, 14, 16, 12]","[5, 23, 44, 30, 23, 30, 22, 11, 6, 13, 24, 17, 25, 10, 22, 17, 24, 68]",13.4705882352941,23,1205,2179,"[19.021145, 36.113755000000005, 65.94024200000001, 225.056623, 64.667697, 16.312790999999997, 82.28828899999999, 33.420026, 43.273616, 14.058364999999998, 51.437249, 119.646755, 21.470067999999998, 18.19876, 53.740252999999996, 35.160227000000006, 74.518385]","[0.0, 0.9041, 0.9118, 0.705, 0.4215, -0.296, 0.8832, 0.0, 0.0, 0.0, 0.6249, 0.7177, 0.2732, 0.4019, 0.4019, -0.1739, 0.5023, 0.8395]","[0.2263, 0.128, 0.0, 0.6369, 0.0, 0.4574, 0.8356, 0.0, 0.0, 0.3182, 0.6908, 0.0, 0.0, 0.0, -0.25, 0.0, -0.4215]",0.395394444444444,0.154217647058823,57.3131909411765,79.8550389345297,72.6262446486222,83.7759793115987,85.6081771097976
"13",12,175,302,"human","yes",50,40,1,70,60,60,40,20,100,1,2,1,13,"",60,60,55,2,"",2,NA,2,NA,38,4,NA,100,1,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",19,20,"[8, 11, 16, 10, 26, 4, 9, 11, 6, 12, 2, 12, 13, 14, 13, 12, 5, 11, 17]","[5, 20, 36, 24, 15, 25, 36, 15, 27, 14, 33, 22, 47, 20, 31, 26, 15, 10, 22, 8]",11.1578947368421,22.55,1153,2437,"[16.625428, 26.432312000000003, 46.43434400000001, 33.262062, 91.272777, 12.475786, 25.369503000000005, 37.909005, 28.261062, 35.025975, 13.510991999999998, 32.704533999999995, 45.108484000000004, 42.264626, 48.67318, 44.507913, 32.353263, 21.034225, 46.839377999999996]","[0.0, 0.8822, 0.8712, 0.9307, 0.7269, 0.8805, 0.9294, 0.8384, 0.6908, 0.7703, 0.3489, 0.7184, -0.2834, 0.765, 0.7645, 0.0, -0.1232, 0.6474, 0.0, 0.296]","[0.3382, 0.7506, 0.6486, 0.4588, 0.0772, 0.0, 0.3182, 0.3612, 0.6588, 0.4404, 0.0, 0.5574, -0.2911, 0.0, 0.5983, 0.0, 0.0, 0.0, 0.2263]",0.5327,0.270678947368421,35.7928867894737,76.96991901005,62.5685796176476,85.5024215442721,69.9528622631622
"14",13,176,312,"ai","yes",10,0,0,100,80,100,100,10,100,2,2,NA,14,"",5,5,5,2,"",1,NA,3,NA,33,5,NA,10,2,1,1,"Anonymized","Anonymized","Anonymized",16,17,"[12, 17, 24, 24, 14, 7, 19, 1, 18, 5, 7, 15, 21, 30, 10, 10]","[5, 25, 35, 33, 47, 12, 28, 36, 51, 10, 28, 36, 38, 39, 31, 7, 15]",14.625,28,1249,2639,"[19.902366, 63.749309, 76.629842, 66.898587, 82.727234, 28.041104999999998, 65.103976, -8.302875999999998, 30.331459, 59.140072, 39.324968, 37.526427, -8.726970000000001, 46.120129, 33.461985999999996, 10.168907999999998]","[0.0, 0.8901, 0.9328, 0.9567, 0.9712, 0.9041, 0.9656, 0.9699, 0.9653, 0.813, 0.9549, 0.97, 0.97, 0.9749, 0.9259, 0.6996, 0.7773]","[0.3643, 0.8847, 0.8016, 0.7906, 0.807, 0.4939, 0.2878, 0.0, 0.9078, 0.0, 0.6369, 0.6369, 0.1531, 0.8555, 0.3612, 0.4753]",0.86125294117647,0.5285375,40.131032625,72.1629626626781,62.7983943260432,87.7095415759346,69.1085470658493
"15",14,177,321,"ai","yes",71,0,1,80,100,92,100,12,100,2,2,NA,15,"",19,10,23,2,"",1,NA,3,NA,31,1,NA,88,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",23,24,"[5, 7, 8, 8, 4, 9, 11, 20, 6, 21, 25, 24, 13, 5, 6, 21, 19, 20, 25, 15, 18, 9, 5]","[5, 18, 8, 10, 18, 16, 29, 10, 18, 12, 34, 28, 31, 11, 10, 14, 15, 24, 18, 20, 21, 19, 17, 22]",13.2173913043478,17.8333333333333,1506,2244,"[12.374649, 19.858795, 18.270550999999998, 15.592831, 13.356948000000001, 14.789890000000002, 28.479776, 22.757829, 8.648211000000002, 34.754932, 34.087248, 31.380872999999998, 31.030304000000005, 22.9388, 18.583089, 34.552457000000004, 42.863155, 38.882006000000004, 38.546625000000006, 27.544126, 33.13566, 18.116718999999996, 17.07796]","[0.0, 0.7345, -0.5893, 0.7294, 0.296, 0.8402, 0.5255, 0.8122, 0.909, 0.3612, 0.5574, -0.7798, 0.3837, 0.4019, 0.7239, 0.4019, 0.5423, 0.9081, 0.4215, 0.7684, 0.7501, 0.34, 0.4215, 0.8074]","[0.2732, 0.2263, 0.0, 0.0258, 0.4019, 0.0, 0.0, 0.8327, 0.5719, 0.7096, 0.2087, -0.0026, 0.0, 0.0, 0.0, -0.3182, 0.7184, -0.6808, 0.8051, -0.128, -0.802, -0.1599, 0.0]",0.469458333333333,0.116613043478261,25.1140623478261,79.0373291812245,73.5088640537033,74.3060294952306,70.3046178899107
"16",15,178,332,"ai","yes",23,0,1,100,89,80,97,14,100,2,2,NA,16,"",29,44,70,2,"",2,NA,3,NA,38,5,NA,89,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",11,12,"[5, 7, 5, 6, 2, 4, 2, 2, 1, 1, 9]","[5, 13, 45, 31, 15, 12, 27, 12, 22, 12, 25, 50]",4,22.4166666666667,224,1457,"[9.890778, 21.073511, 20.874668, 41.797752, 21.008305, 19.335663, 28.634179, 17.636943000000002, 8.8066, 20.806355, 20.828888]","[0.0, 0.743, -0.8954, -0.1505, 0.8217, 0.2516, 0.9424, 0.0, 0.938, 0.0, 0.6792, 0.5719]","[0.4404, 0.0, 0.0, 0.3182, 0.4588, 0.3182, -0.5994, 0.0, 0.0, -0.296, 0.0]",0.325158333333333,0.0581999999999999,20.9721492727273,55.798032794532,32.366973559757,73.5759287463401,45.1435694928999
"17",16,179,381,"ai","yes",60,0,1,60,100,50,100,30,100,2,2,NA,17,"",0,5,0,2,"",2,NA,3,NA,22,1,NA,60,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",41,40,"[4, 6, 5, 2, 6, 3, 6, 4, 6, 14, 5, 8, 4, 4, 7, 2, 8, 4, 3, 3, 5, 2, 4, 5, 6, 12, 6, 6, 1, 3, 9, 10, 4, 3, 7, 4, 4, 7, 5, 7, 6]","[5, 11, 20, 8, 7, 5, 12, 3, 6, 25, 12, 6, 9, 20, 6, 3, 2, 22, 2, 5, 18, 3, 6, 18, 13, 9, 14, 3, 3, 10, 5, 19, 3, 8, 14, 11, 10, 13, 26, 10]",5.36585365853659,10.125,988,2094,"[7.304826, 10.453261, 10.397312, 5.648776000000001, 7.950838, 5.489191, 16.683696, 9.810707, -1.4694569999999998, 15.772461, 18.30463, 11.080202, 7.9142280000000005, 10.081921999999999, 7.840834000000001, 7.774941000000001, 8.178664000000001, 10.549918000000002, 5.6858509999999995, 3.2846219999999997, 9.711313000000002, 19.170485, 11.343615, 12.655878, 7.762550999999999, 13.694917, 19.463679, 63.85883700000001, 11.572303000000002, 15.644359999999999, 6.094737, 3.438707, 8.299811000000002, 9.814185, 9.63123, 12.161579, 16.703753, -0.9333840000000002, -2.525815]","[0.0, 0.5574, 0.0772, 0.6588, 0.6114, 0.0, 0.7146, 0.7177, 0.908, 0.7343, -0.2755, 0.0531, 0.4019, 0.8114, 0.6588, 0.0, 0.6588, -0.3252, 0.0, 0.6588, 0.0258, 0.4019, 0.0, 0.8779, 0.0, 0.8588, 0.69, 0.4019, 0.4019, -0.296, 0.0, 0.8126, 0.0, 0.6588, 0.7841, 0.7296, 0.7964, 0.7296, 0.807, 0.8481]","[0.4404, 0.1531, 0.0, 0.0, 0.0, 0.4404, 0.3612, 0.0, -0.2755, -0.3252, -0.4404, 0.0, 0.4588, 0.3612, 0.0, 0.0, 0.2448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4939, 0.0, 0.0, 0.5719, 0.3612, 0.3412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34, 0.34, 0.34, 0.34, -0.5096, 0.34, 0.4215]",0.4287475,0.117046341463415,10.9307734358974,60.1715141300474,64.7752851108806,84.4628101172801,80.6149286356611
"18",17,180,412,"human","yes",100,52,5,0,86,88,0,0,50,1,2,1,18,"i thought i was chatting with a person because their answers were responsive to my questions.",6,4,6,2,"",1,NA,3,NA,59,1,NA,100,1,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",19,19,"[5, 10, 14, 10, 17, 19, 26, 13, 10, 8, 20, 5, 16, 14, 7, 8, 31, 23, 4]","[5, 12, 20, 18, 23, 21, 24, 24, 12, 15, 18, 17, 13, 15, 10, 17, 14, 25, 14]",13.6842105263158,16.6842105263158,1241,1506,"[10.929626, 20.832065, 23.492064, 28.299583000000005, 28.081900000000005, 31.366014999999997, 65.902894, 21.877443, 22.000409, -2.6163410000000002, 16.060829, 46.247879000000005, 24.503894000000003, 35.192051, 30.958244000000004, 11.300301, 57.659510999999995, 11.835281]","[0.0, 0.8716, 0.7088, -0.296, 0.4215, 0.8524, 0.9115, 0.4199, 0.5255, 0.0, 0.5093, -0.296, 0.8872, 0.8678, 0.5474, 0.7417, 0.6606, 0.945, 0.5399]","[0.7269, -0.3182, 0.6652, 0.5267, 0.0, 0.4344, 0.8999, 0.8555, -0.5255, 0.4019, 0.8779, 0.0, 0.5994, 0.9098, 0.4215, 0.4201, 0.8779, 0.8268, 0.296]",0.516742105263158,0.468221052631579,26.8846471111111,75.0367415655166,80.0316060666918,82.9056145640312,66.8479622868171
"19",18,181,422,"ai","yes",30,0,0,96,75,57,91,59,99,2,2,NA,19,"",7,4,3,2,"I have never used one.",1,NA,3,NA,29,7,NA,70,2,1,1,"Anonymized","Anonymized","Anonymized",12,13,"[7, 10, 4, 4, 16, 10, 26, 8, 8, 43, 8, 42]","[5, 8, 22, 30, 29, 30, 23, 28, 22, 23, 26, 19, 28]",15.5,22.5384615384615,947,1521,"[21.931267, 35.014988, 19.374820000000003, -7.273377, 46.98000700000001, 30.937792, 55.135671, 55.92765800000001, 35.335251, 88.563829, 60.90590699999999, 91.67085399999999]","[0.0, 0.5707, 0.4404, 0.802, 0.5327, 0.9153, 0.9217, 0.8961, 0.5052, 0.8074, 0.8658, -0.6759, 0.9129]","[0.4926, 0.0, 0.0, 0.0, 0.927, 0.3612, 0.7959, 0.5859, 0.3612, 0.945, 0.0, 0.7178]",0.576484615384615,0.432216666666667,44.5420555833333,76.2476928574613,60.759015108342,83.2532157259834,74.7196560033352
"20",19,182,452,"ai","yes",88,69,5,14,68,59,79,62,36,2,2,NA,20,"",81,59,34,2,"",2,NA,1,NA,37,4,NA,69,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",19,18,"[1, 7, 18, 23, 12, 11, 16, 10, 13, 18, 8, 7, 13, 4, 22, 1, 6, 15, 6]","[27, 36, 31, 72, 26, 30, 48, 53, 28, 40, 46, 5, 33, 8, 36, 12, 38, 36]",11.1052631578947,33.6111111111111,1022,3326,"[40.989143, 43.12809800000001, 6.486839000000003, 118.245371, -2.856088999999999, 16.029474, -14.779974999999997, 9.729624000000001, 50.525662, -11.073061, 17.143211, 26.126118, -1.272227, -10.741892999999997, -6.158624, -19.902897]","[0.9098, -0.0498, 0.3931, 0.8516, 0.8742, 0.6409, -0.5849, 0.2263, 0.4535, 0.8908, 0.8889, 0.4199, -0.1672, 0.4588, 0.9638, 0.7269, 0.9652, 0.8655]","[0.0, 0.0, 0.3612, 0.0, 0.0, 0.6705, -0.5994, 0.4019, 0.2732, 0.4019, 0.4019, -0.3818, -0.0071, 0.3612, 0.8625, 0.0, 0.0, 0.3612, 0.0]",0.540405555555556,0.163536842105263,16.351173375,78.045010597888,48.6840425809942,81.3714174340922,87.8125955893662
"21",20,183,472,"human","yes",100,50,5,0,100,50,0,0,50,1,2,1,21,"The responses I received were relevant to what I was saying. It felt like a personal conversation and not a generic chatbot type conversation.",100,100,100,2,"",2,NA,3,NA,28,3,NA,100,1,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",12,13,"[9, 17, 24, 19, 13, 31, 20, 36, 30, 3, 2, 9]","[5, 17, 23, 39, 26, 28, 42, 39, 23, 17, 4, 2, 3]",17.75,20.6153846153846,1034,1336,"[7.943486999999999, 24.262801, 40.44587, 32.533596, 28.104436999999997, 42.533838, 39.20652, 80.03647699999999, 55.465813, 8.970453, -0.1190199999999999, 7.392846]","[0.0, 0.923, 0.7263, 0.9039, 0.8335, 0.9137, 0.4738, 0.9136, 0.9403, 0.8745, 0.0, 0.5093, 0.0]","[0.3382, 0.2732, 0.8074, 0.855, 0.743, 0.5905, 0.807, 0.9258, 0.9608, 0.4588, 0.3612, 0.8353]",0.6163,0.663016666666667,30.5647598333333,76.2670570233689,72.836781217738,91.578070161228,83.4139711252809
