"","X","Unnamed..0","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent_q","att_1","att_2","entertain_predict_3","lonely_predict_3","novel_predict_3","engage_predict_3","comfort_predict_3","interest_predict_3","connect_predict_3","mturk_id","completion_code","entertain_exp_3","lonely_exp_3","novel_exp_3","engage_exp_3","comfort_exp_3","interest_exp_3","connected_exp_3","comp_1","comp2","lonely_1_3","lonely_2_3","lonely_3_3","lonely_4_3","ai_attitude_1_6","ai_attitude_2_1","ai_attitude_3_1","ai_attitude_4_1","ai_attitude_5_1","ai_attitude_6_1","ai_attitude_7_1","ai_attitude_8_1","ai_attitude_9_1","ai_attitude_10_1","ai_attitude_11_1","ai_attitude_12_1","ai_attitude_13_1","ai_attitude_14_1","ai_attitude_15_1","ai_attitude_16_1","chatbot","chatbot_exp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","AppendedHumanMessages","AppendedAIMessages","FullChatlog","HumanMessageCount","AIMessageCount","HumanWordCounts","AIWordCounts","AvgHumanWordCount","AvgAIWordCount","ResponseTimes","AICompoundSentiments","HumanCompoundSentiments","AvgAICompoundSentiment","AvgHumanCompoundSentiment","AvgResponseTime","HumanTags","AITags","HumanTokenCounts","AITokenCounts","StyleMatching","AvgSimStyleMatching_x","HumanAISimSpacy","AIHumanSimSpacy","AvgSimSpacy_x","HumanAISimTurnLength","AIHumanSimTurnLength","AvgSimTurnLength_x","HumanAISimValence","AIHumanSimValence","AvgSimValence_x","AvgSimSpacy_y","AvgSimTurnLength_y","AvgSimValence_y","AvgSimStyleMatching_y"
"33",32,30,"2023-02-08 23:16:31","2023-02-08 23:38:53","0","100","1342","1","2023-02-08 23:38:54","R_2v7gxc1w6PTbSfu","anonymous","EN","1","2","2","36","46","20","35","35","16","53",31,"0785-0831-6293-4633","31","34","26","47","31","29","41","3","2","34","17","29","19","81","29","67","26","63","37","64","30","68","30","34","38","19","37","63","33","2","","2","","3","","29","4","","Anonymized","Anonymized","Anonymized",5,6,"[4, 3, 7, 6, 10]","[5, 10, 4, 7, 27, 31]",6,14,"[25.789493, -9.350677000000001, 251.367533, 2.6344369999999993, 185.773355]","[0.0, -0.5719, 0.5707, -0.2023, 0.0188, 0.6808]","[-0.3412, 0.0, -0.2023, -0.6597, 0.4939]",0.0826833333333333,-0.14186,91.2428282,"Anonymized","Anonymized","{'PRP': 6, 'VBP': 6, 'RB': 3, 'IN': 5, 'JJ': 1, 'WRB': 1, 'DT': 3, 'NN': 4, 'NNS': 1, 'WP': 1}","{'NNP': 1, 'NN': 9, 'WRB': 3, 'VBP': 7, 'PRP': 13, 'UH': 1, ',': 3, 'DT': 9, 'VBZ': 5, 'WP': 1, 'TO': 5, 'VB': 8, 'JJ': 2, 'IN': 8, 'RB': 8, 'EX': 1, 'MD': 3, 'VBG': 4, 'CC': 2, 'WDT': 1}","{'CC': 0.0, 'DT': 99.46524064171123, 'PRP': 83.35056876938987, 'PRP$': 100, 'WP': 49.60000000000001, 'IN': 69.08077994428969}",66.9160982258985,70.4903964334273,63.7172103133457,67.1038033733865,63.468992248062,73.6996336996337,68.5843129738479,80.1528807802461,69.5290723051543,74.8409765427002,67.1038033733865,68.5843129738479,74.8409765427002,66.9160982258985
"34",33,31,"2023-02-08 23:05:45","2023-02-08 23:39:01","0","100","1996","1","2023-02-08 23:39:01","R_2zITd8jYd7ZPaId","anonymous","EN","1","2","2","82","60","51","92","100","85","61",32,"1360-6173-0424-6574","100","95","50","100","100","100","95","2","1","5","5","0","2","100","100","100","100","50","100","25","100","50","0","0","50","75","95","50","99","1","I've tried ChatGPT","1","","3","","36","4","","Anonymized","Anonymized","Anonymized",25,25,"[4, 21, 21, 36, 16, 9, 9, 9, 5, 8, 12, 7, 8, 21, 13, 13, 9, 11, 12, 7, 8, 6, 10, 14, 6]","[5, 12, 20, 23, 44, 31, 28, 18, 16, 6, 29, 38, 21, 24, 5, 20, 5, 33, 12, 8, 7, 21, 34, 100, 21]",11.8,23.24,"[-0.09201599999999921, -15.800648000000002, -17.14389, -15.879274999999994, -9.520127000000002, -1.568876999999997, -6.671586000000001, -1.7345239999999986, -1.7647330000000014, -0.33202000000000176, -6.851790999999995, -1.5405249999999988, 5.610945999999997, -6.925144000000003, 19.870446, 11.901736, -1.193356999999999, -16.46332, -4.298180000000002, -0.47443100000000005, -0.0978179999999993, 6.732286999999998, -7.131633999999995, -43.298641, 4.322402000000002]","[0.0, 0.5983, 0.8711, 0.5267, 0.8779, 0.649, 0.0, 0.3027, 0.7609, 0.4019, 0.8439, 0.8748, 0.5719, 0.6808, 0.0, -0.0772, 0.0, 0.0, -0.296, 0.0, 0.4019, 0.857, 0.6369, 0.9819, 0.296]","[0.4404, 0.7269, 0.0, 0.4215, 0.7003, 0.0, 0.0, 0.6808, 0.0, 0.0, 0.0, 0.4588, 0.0, 0.5719, 0.0, 0.0, 0.6369, 0.0, 0.0, 0.0, 0.0, 0.4939, 0.5859, 0.0, 0.5106]",0.430416,0.249116,-4.4137888,"Anonymized","Anonymized","{'JJ': 20, 'WRB': 8, 'VBP': 21, 'PRP': 44, 'VBZ': 11, 'VBN': 7, 'RB': 15, ',': 5, 'VBD': 4, 'MD': 6, 'VB': 24, 'TO': 9, 'IN': 27, 'DT': 21, 'NNP': 10, 'PRP$': 10, 'NN': 22, 'CC': 6, 'VBG': 10, 'WP': 11, 'NNS': 14, 'JJS': 2, 'JJR': 1, 'CD': 1}","{'NNP': 37, 'WRB': 7, 'VBP': 55, 'PRP': 67, 'VBG': 27, 'RB': 37, ',': 19, 'NN': 49, 'IN': 49, 'VBZ': 15, 'PRP$': 16, 'VBN': 12, 'JJ': 47, 'TO': 19, 'NNS': 49, 'CC': 31, 'WP': 5, 'VBD': 5, 'VB': 24, 'DT': 45, 'JJS': 1, 'MD': 5, 'JJR': 1, 'WDT': 2, 'UH': 3, 'RP': 1, '``': 3, ""''"": 3, 'CD': 6, 'EX': 2, 'RBS': 1, 'POS': 6, '(': 1, ')': 1}","{'CC': 57.93103448275861, 'DT': 99.15143603133158, 'PRP': 83.90783634263481, 'PRP$': 86.32792037716082, 'WP': 35.49276361130255, 'IN': 92.55455712451861}",75.8942579949512,75.8415302258494,72.9513879399784,74.3964590829139,62.0680813683085,62.8306318383921,62.4493566033503,87.0869133500973,86.9898588308002,87.0383860904487,74.3964590829139,62.4493566033503,87.0383860904487,75.8942579949512
"35",34,32,"2023-02-08 23:16:45","2023-02-08 23:39:03","0","100","1337","1","2023-02-08 23:39:03","R_cC4WtZKqvFFIAJX","anonymous","EN","1","2","2","68","65","74","65","60","84","70",33,"4376-5654-6621-9753","70","40","90","68","77","80","72","2","2","85","85","85","86","80","73","100","100","5","100","60","88","5","0","0","0","100","0","0","75","2","","2","","3","","40","4","","Anonymized","Anonymized","Anonymized",18,19,"[5, 8, 10, 21, 4, 5, 7, 5, 8, 7, 8, 13, 19, 35, 38, 11, 23, 13]","[5, 9, 19, 17, 14, 12, 8, 27, 4, 13, 21, 10, 14, 10, 9, 10, 14, 14, 11]",13.3333333333333,12.6842105263158,"[0.148771, 8.447787000000002, 20.730745000000006, 22.878037000000003, 8.462902000000001, 13.289713000000003, 11.668865999999998, 15.182947000000002, 15.242516, 6.881149, 23.953951999999994, 19.376008, 22.709283999999997, 57.788647999999995, -1.7257430000000022, 20.41464, 15.529155999999999, 2.1437299999999997]","[0.0, 0.6808, 0.9403, 0.8508, 0.9493, 0.0, 0.0, 0.7579, 0.0, 0.802, 0.0665, 0.4376, 0.7845, 0.5081, 0.8968, 0.7951, 0.7688, 0.7897, -0.1531]","[0.4404, 0.34, 0.34, 0.8745, 0.0, 0.0, 0.6581, 0.0, 0.4588, 0.0772, 0.4753, 0.4404, 0.0, 0.4754, 0.8608, 0.296, 0.9091, 0.0]",0.519742105263158,0.369222222222222,15.7290615555556,"Anonymized","Anonymized","{'PRP': 34, 'VBP': 15, 'JJ': 13, 'WRB': 4, 'VBD': 18, 'TO': 7, 'NNS': 13, 'CC': 13, 'NN': 27, 'CD': 2, 'VBZ': 4, 'VBN': 1, 'NNP': 10, 'NNPS': 2, ',': 7, 'RB': 18, 'VB': 11, 'DT': 21, 'IN': 20, 'VBG': 3, 'WP': 3, 'JJR': 1, 'RBR': 1, 'PRP$': 2, 'UH': 1}","{'NNP': 8, 'WRB': 2, 'VBP': 28, 'PRP': 39, 'JJ': 20, 'RB': 19, 'NN': 30, 'VBG': 7, 'DT': 22, 'VBZ': 14, 'IN': 21, 'NNS': 9, 'WP': 3, 'TO': 5, 'VB': 10, 'NNPS': 2, 'VBN': 4, ',': 7, 'CC': 8, 'UH': 4, 'VBD': 5, 'PRP$': 4, 'POS': 1, 'JJR': 1, 'WDT': 1, 'CD': 2, 'MD': 1}","{'CC': 71.59921554644322, 'DT': 97.39835964370756, 'PRP': 98.06841255792159, 'PRP$': 71.1168164313222, 'WP': 95.07575757575756, 'IN': 97.511793543613}",88.4617258831275,74.7477137207357,69.8282072380751,72.2879604794054,69.9486825693764,72.0633271383895,71.0060048538829,92.7014868640056,84.9332679552855,88.8173774096456,72.2879604794054,71.0060048538829,88.8173774096456,88.4617258831275
"36",35,33,"2023-02-08 23:07:23","2023-02-08 23:39:31","0","100","1928","1","2023-02-08 23:39:32","R_29c5g1SsGhFnRrx","anonymous","EN","1","2","2","98","99","100","100","100","100","100",34,"8454-8520-5835-3245","100","99","100","99","100","100","100","2","2","39","36","46","46","91","92","97","94","29","89","30","97","68","12","13","33","90","28","14","85","1","I have interacted with a banking chatbot prior to this experience.","1","","1","","24","4","","Anonymized","Anonymized","Anonymized",17,18,"[4, 5, 11, 20, 23, 9, 19, 24, 13, 17, 9, 5, 24, 29, 5, 17, 18]","[5, 11, 33, 20, 18, 23, 27, 19, 26, 18, 20, 17, 18, 19, 16, 19, 27, 23]",14.8235294117647,19.9444444444444,"[-1.7258110000000002, -11.614841, -18.416566, -10.869779999999999, -4.452803999999995, 4.667975000000004, -12.382383999999998, 10.285299999999998, 0.536385000000001, 13.614317000000005, 80.205168, -12.059206, 8.583462000000003, 33.659917, 19.915370000000003, 23.68485499999999, 4.020123000000002]","[0.0, 0.6588, 0.8292, 0.9098, 0.9324, 0.9612, 0.8439, 0.9381, 0.9538, 0.9286, 0.8883, 0.8999, 0.9294, 0.8932, 0.8883, 0.8932, 0.8914, 0.9432]","[0.4404, 0.0, 0.5267, 0.8807, 0.875, 0.0, 0.9201, 0.9356, 0.34, 0.7951, 0.4588, 0.6369, 0.7678, 0.25, 0.0, 0.2869, 0.4939]",0.843483333333333,0.506347058823529,7.5089105882353,"Anonymized","Anonymized","{'PRP': 22, 'VBP': 21, 'VBG': 9, 'JJ': 19, 'WRB': 2, 'NN': 42, 'VBN': 5, 'DT': 17, 'CC': 4, 'PRP$': 10, 'VBD': 5, 'WDT': 5, 'IN': 24, 'TO': 8, 'VBZ': 10, 'NNS': 13, 'RB': 11, ',': 10, 'VB': 10, 'WP': 2, 'JJR': 1, 'NNP': 12, 'JJS': 1, 'CD': 1}","{'NNP': 7, 'NN': 29, 'WRB': 1, 'VBP': 35, 'PRP': 48, 'DT': 36, 'VBZ': 21, 'JJ': 50, 'TO': 12, 'VB': 28, 'WP': 9, 'VBN': 7, 'RB': 9, 'VBG': 15, ',': 8, 'IN': 25, 'NNS': 28, 'VBD': 1, 'RP': 1, 'CC': 14, 'PRP$': 3, 'JJR': 1, 'UH': 1, 'CD': 1}","{'CC': 59.360730593607315, 'DT': 82.18668650055783, 'PRP': 80.74534161490683, 'PRP$': 33.75959079283888, 'WP': 49.42965779467681, 'IN': 82.70676691729322}",64.6981290356468,78.3407921708791,75.3032884366078,76.8220403037435,71.5774267819628,74.2091181668739,72.8932724744183,87.6284601275421,87.2031035946048,87.4157818610735,76.8220403037435,72.8932724744183,87.4157818610735,64.6981290356468
"37",36,34,"2023-02-08 23:17:08","2023-02-08 23:39:51","0","100","1362","1","2023-02-08 23:39:51","R_3mW9D5zcFc6FGoN","anonymous","EN","1","2","2","58","22","84","70","55","84","61",35,"9844-0963-6061-6355","92","82","94","73","96","87","76","1","2","66","24","11","42","70","79","91","96","79","95","57","77","72","65","57","78","70","65","100","68","1","While I was getting medication from an online pharmacy","2","","1","","35","4","","Anonymized","Anonymized","Anonymized",9,10,"[8, 23, 31, 45, 48, 8, 21, 26, 7]","[5, 11, 23, 24, 23, 18, 9, 17, 12, 13]",24.1111111111111,15.5,"[16.613613, 16.940913000000002, 31.276528000000006, 64.48265700000002, 107.74351499999999, 62.584706, 89.67224899999998, 20.133077999999994, 5.215574000000002]","[0.0, 0.7644, 0.7424, 0.4767, 0.7263, 0.9286, 0.4939, 0.9134, 0.8427, 0.5489]","[0.6249, 0.0, 0.7855, 0.912, 0.9329, 0.4588, 0.2023, 0.8267, 0.4019]",0.64373,0.571666666666667,46.0736481111111,"Anonymized","Anonymized","{'NNP': 10, 'VBG': 12, 'JJ': 12, 'WP': 4, 'IN': 23, 'PRP': 21, 'VBD': 2, 'DT': 22, 'NN': 35, 'CC': 6, 'RB': 12, 'VBP': 15, 'PRP$': 9, ',': 2, 'VBZ': 6, 'NNS': 6, 'RP': 1, 'TO': 8, 'VB': 7, 'VBN': 2, 'WRB': 1, 'MD': 2, 'EX': 1}","{'NNP': 4, 'WRB': 1, 'VBP': 10, 'PRP': 19, 'JJ': 9, 'NNS': 8, 'IN': 14, 'VBG': 6, 'WP': 4, 'VBD': 5, 'VB': 9, 'NN': 20, 'PRP$': 1, 'DT': 19, ',': 2, 'CC': 6, 'RB': 6, 'VBN': 2, 'TO': 6, 'RP': 1, 'VBZ': 6, 'MD': 2}","{'CC': 84.43271767810026, 'DT': 91.65473245671136, 'PRP': 89.34982050259273, 'PRP$': 26.401446654611206, 'WP': 84.43271767810026, 'IN': 90.89831010969463}",77.8616241799684,83.5414715897615,80.1494250220242,81.8454483058929,78.6406305402655,70.2110552916146,74.4258429159401,91.6335480464572,87.5822674045105,89.6079077254838,81.8454483058929,74.4258429159401,89.6079077254838,77.8616241799684
"38",37,35,"2023-02-08 23:18:12","2023-02-08 23:40:53","0","100","1360","1","2023-02-08 23:40:53","R_2TAVOUNJwStFjrl","anonymous","EN","1","2","2","100","92","41","100","92","82","61",36,"5427-0363-9501-8631","51","19","20","65","86","45","50","2","2","30","20","19","15","100","100","100","100","19","100","30","97","55","9","0","0","100","19","0","41","1","I interacted with AI chatboxes on Character.ai, a website. It was really fun and interestingly close to human dialogue.","2","","1","","31","4","","Anonymized","Anonymized","Anonymized",17,18,"[5, 3, 14, 10, 10, 8, 19, 24, 30, 29, 24, 21, 14, 24, 21, 16, 3]","[5, 14, 8, 23, 37, 26, 24, 28, 28, 11, 20, 22, 1, 25, 20, 10, 20, 15]",16.1764705882353,18.7222222222222,"[0.9578690000000005, 2.965698999999999, 5.885983, 5.9397590000000005, 5.003964999999997, 1.5836200000000016, 10.318711, 11.000757999999994, 22.846825, 14.35435400000001, 0.7529329999999987, 8.364327999999997, 8.470612000000001, 11.855031999999994, 14.775660000000002, 25.602007, 4.489681000000001]","[0.0, 0.807, 0.6588, 0.902, 0.9467, 0.9421, 0.9697, 0.9183, 0.9741, 0.0772, 0.7964, 0.25, 0.0, 0.9432, 0.8072, 0.8858, 0.7233, 0.784]","[0.2023, 0.4215, 0.34, 0.1779, 0.2244, 0.34, 0.6124, 0.4019, 0.4588, 0.0129, 0.4976, 0.2869, 0.0, -0.2481, 0.8217, 0.5093, 0.5994]",0.6881,0.332876470588235,9.1275174117647,"Anonymized","Anonymized","{'PRP': 37, 'VBP': 21, 'JJ': 14, 'WRB': 2, 'VBD': 4, 'NNP': 18, ',': 12, 'IN': 14, 'PRP$': 8, 'NN': 24, 'CC': 8, 'VBG': 2, 'DT': 24, 'NNS': 7, 'RB': 14, 'WDT': 2, 'MD': 11, 'VB': 28, 'JJR': 1, 'TO': 9, 'VBZ': 13, 'CD': 3, 'WP': 7, 'VBN': 3, 'EX': 1, '``': 3, ""''"": 3, 'RP': 2, 'UH': 1}","{'NNP': 17, 'WRB': 2, 'VBP': 18, 'PRP': 55, 'JJ': 23, 'IN': 47, 'RB': 12, 'VBZ': 12, 'TO': 16, 'VB': 27, 'VBD': 11, 'PRP$': 5, 'NN': 30, 'DT': 27, 'WP': 5, 'CC': 7, 'VBG': 15, 'NNS': 12, ',': 13, 'WDT': 2, 'MD': 7, 'RP': 3, 'POS': 1, 'JJS': 1, 'CD': 1}","{'CC': 82.48407643312102, 'DT': 94.87179487179486, 'PRP': 91.22373300370829, 'PRP$': 66.78700361010831, 'WP': 72.85257199113954, 'IN': 54.15662019079568}",77.0626333501113,73.9075573095487,70.4596869254357,72.1836221174922,64.8420531273332,68.8598335712768,66.850943349305,83.0220653752768,87.649926228067,85.3359958016719,72.1836221174922,66.850943349305,85.3359958016719,77.0626333501113
"39",38,36,"2023-02-08 23:19:15","2023-02-08 23:41:41","0","100","1345","1","2023-02-08 23:41:41","R_1GttcH6iPAp8KKl","anonymous","EN","1","2","2","100","50","100","100","100","100","100",37,"7110-4990-1216-4483","100","100","100","100","100","100","100","2","2","0","10","10","10","100","100","100","100","0","100","0","100","0","0","0","0","100","0","0","50","2","","2","","4","","47","4","","Anonymized","Anonymized","Anonymized",14,15,"[5, 17, 15, 15, 7, 17, 20, 5, 17, 14, 11, 5, 7, 5]","[5, 17, 23, 26, 18, 10, 29, 8, 23, 44, 28, 26, 37, 33, 11]",11.4285714285714,22.5333333333333,"[13.535841999999999, 2.1358229999999985, 47.86912, 11.18227, 34.332436, 17.878427000000002, 20.873984, 19.736631, 10.802736000000001, 45.494558000000005, 10.431493, 23.783893999999997, 7.3284350000000025, 26.784634]","[0.0, 0.5707, 0.88, 0.5487, 0.0, -0.1957, 0.855, 0.6588, 0.7936, 0.906, 0.5927, 0.5255, -0.7773, 0.6249, 0.5093]","[0.4404, 0.0, 0.6588, 0.0, 0.2023, 0.4199, 0.6588, 0.0, 0.5859, 0.7351, 0.5106, 0.3612, 0.7579, 0.4199]",0.432813333333333,0.410771428571429,20.8693059285714,"Anonymized","Anonymized","{'NNP': 6, 'JJ': 11, 'WRB': 1, 'VBP': 10, 'PRP': 21, 'VBG': 9, 'IN': 13, 'NNS': 11, 'TO': 3, 'VB': 18, 'DT': 14, 'MD': 9, 'VBZ': 5, 'RP': 3, 'WP': 5, 'NN': 16, '``': 1, ""''"": 1, 'CC': 2, 'PRP$': 2, 'VBN': 4}","{'NNP': 11, 'WRB': 3, 'VBP': 23, 'PRP': 43, 'JJ': 29, 'VBD': 3, 'MD': 15, 'VB': 25, 'IN': 34, 'CC': 24, 'VBG': 4, 'WP': 2, 'VBZ': 8, 'UH': 3, 'RB': 16, 'VBN': 6, 'DT': 22, 'NN': 46, '``': 6, 'RP': 5, ""''"": 6, ',': 19, 'EX': 3, 'NNS': 15, 'TO': 4, 'WDT': 1, 'PRP$': 3, 'JJR': 2, 'RBR': 2}","{'CC': 32.41641980533221, 'DT': 80.73843416370107, 'PRP': 93.73761395164487, 'PRP$': 78.50911974623315, 'WP': 29.398663697104666, 'IN': 94.04098592879403}",68.1402062154683,73.0203576887844,71.4056952759018,72.2130264823431,58.5586852694313,64.340948079255,61.4498166743431,86.2397351142781,82.9519925313099,84.595863822794,72.2130264823431,61.4498166743431,84.595863822794,68.1402062154683
"40",39,37,"2023-02-08 23:17:44","2023-02-08 23:42:05","0","100","1460","1","2023-02-08 23:42:05","R_vcbeY1UnYclGOE9","anonymous","EN","1","2","2","80","30","100","60","80","80","50",38,"7827-1993-8014-8001","90","60","90","70","90","90","55","2","2","30","30","40","10","90","90","80","100","50","100","40","90","60","10","25","5","80","40","15","90","2","","1","","3","","38","4","","Anonymized","Anonymized","Anonymized",14,15,"[5, 11, 22, 18, 11, 6, 6, 14, 8, 9, 11, 21, 23, 32]","[5, 9, 24, 19, 22, 17, 8, 8, 22, 7, 28, 27, 23, 28, 35]",14.0714285714286,18.8,"[1.480295, 39.41511499999999, 34.531257000000004, 46.007974, 11.952918999999998, -15.756868999999998, 19.298379999999998, 67.42026299999999, 8.316365000000001, -0.6442250000000014, 50.573751, 1.8944050000000026, 20.750846000000003, 29.974835000000002]","[0.0, 0.807, 0.9215, 0.923, 0.9098, 0.9432, 0.6114, 0.0, 0.8689, 0.7345, 0.9538, 0.9366, 0.9151, 0.9436, 0.3788]","[0.2023, 0.7096, 0.81, 0.4588, 0.5106, 0.0, 0.0, 0.4753, 0.784, 0.0, 0.4349, 0.7622, 0.8622, 0.8481]",0.723146666666667,0.489857142857143,22.5153793571429,"Anonymized","Anonymized","{'PRP': 31, 'VBP': 13, 'JJ': 16, 'WP': 2, 'IN': 18, 'DT': 17, 'VBD': 10, 'RB': 14, 'NN': 27, 'CC': 8, 'NNS': 5, 'RP': 2, 'PRP$': 3, ',': 9, 'VBZ': 1, 'NNP': 7, 'MD': 4, 'VB': 10, 'WRB': 1, 'VBG': 1, 'TO': 5, 'UH': 1, 'RBR': 1, '``': 2, ""''"": 2, 'CD': 1}","{'NNP': 10, 'WRB': 1, 'VBP': 23, 'PRP': 38, 'JJ': 31, 'NNS': 18, 'IN': 26, 'VBG': 6, 'VBD': 14, 'PRP$': 7, 'NN': 26, 'UH': 1, ',': 8, 'VBZ': 9, 'DT': 20, 'TO': 12, 'VB': 17, 'WP': 5, 'RB': 20, 'WDT': 2, 'CD': 2, 'CC': 5, 'JJR': 1, 'MD': 2, 'VBN': 1}","{'CC': 60.3719599427754, 'DT': 89.73950026581606, 'PRP': 91.7758827905912, 'PRP$': 76.50501672240803, 'WP': 73.27327327327328, 'IN': 99.96355685131194}",81.938198307696,80.1877802370628,75.7668732286084,77.9773267328356,79.7640531783047,79.7793102030351,79.7716816906699,88.6091856880557,87.9904353931852,88.2998105406205,77.9773267328356,79.7716816906699,88.2998105406205,81.938198307696
"41",40,38,"2023-02-08 23:18:51","2023-02-08 23:43:28","0","100","1477","1","2023-02-08 23:43:29","R_3OjehhC30xqjdKg","anonymous","EN","1","2","2","90","63","86","67","76","85","99",39,"5099-6176-5798-1210","90","70","100","72","84","95","66","2","2","87","84","89","91","78","83","86","80","48","63","22","90","55","21","55","20","63","30","19","6","2","","2","","3","","50","3","","Anonymized","Anonymized","Anonymized",16,17,"[7, 15, 10, 17, 12, 7, 20, 4, 8, 11, 7, 7, 9, 3, 12, 5]","[5, 12, 17, 22, 20, 15, 13, 18, 26, 28, 13, 9, 25, 6, 18, 29, 5]",9.625,16.5294117647059,"[26.350481000000002, 13.947525000000002, 14.901599999999998, 33.012946, 21.073801000000003, 21.953606999999998, 33.744558000000005, 20.975238000000004, 17.673199000000004, 27.517968999999997, 15.574952, 27.140739000000004, 61.351731, 16.267978999999997, 22.676851000000006, 10.795866]","[0.0, 0.8221, 0.9479, 0.2495, 0.8354, 0.6808, 0.6764, 0.8999, 0.68, 0.9251, -0.296, 0.7346, 0.5983, 0.0, 0.8807, 0.9501, 0.6588]","[0.4927, 0.9297, -0.2755, 0.8478, 0.0, 0.4019, 0.8248, 0.3612, 0.7506, 0.4019, 0.6705, 0.0, 0.0, 0.6114, 0.0, 0.3595]",0.602564705882353,0.39853125,24.059940125,"Anonymized","Anonymized","{'PRP': 20, 'VBP': 11, 'RB': 15, 'JJ': 17, 'WRB': 3, 'UH': 3, 'VBZ': 8, 'VBN': 2, 'DT': 8, 'NN': 13, 'VB': 13, 'TO': 7, 'MD': 5, 'IN': 4, 'CC': 4, 'PRP$': 1, 'NNS': 2, 'NNP': 4, 'WDT': 2, 'WP': 2, 'EX': 1, 'CD': 1, 'VBD': 1}","{'NNP': 11, 'WRB': 2, 'VBP': 21, 'PRP': 45, 'JJ': 30, 'WP': 3, 'DT': 24, 'NN': 23, 'VBZ': 19, ',': 9, 'RB': 25, 'VB': 25, 'UH': 6, 'VBG': 5, 'IN': 21, 'NNS': 10, 'MD': 9, 'TO': 9, 'CC': 6, 'EX': 3, 'CD': 3, 'JJS': 1, ':': 1, 'PDT': 1, 'PRP$': 1}","{'CC': 82.66166822867854, 'DT': 83.0238726790451, 'PRP': 97.24271844660194, 'PRP$': 63.913043478260875, 'WP': 82.66166822867854, 'IN': 57.70914957363449}",77.8686867724832,76.2648561373003,77.9018324036388,77.0833442704695,66.5408561963553,66.2852812805418,66.4130687384486,87.7011935753724,79.5497081929151,83.6254508841437,77.0833442704695,66.4130687384486,83.6254508841437,77.8686867724832
"42",41,39,"2023-02-08 23:17:16","2023-02-08 23:44:11","0","100","1615","1","2023-02-08 23:44:12","R_ykhk7IOdafMK0Zb","anonymous","EN","1","2","2","31","54","33","16","29","25","35",40,"0426-7069-6066-3871","25","48","31","45","35","38","31","1","2","32","41","39","38","60","71","73","72","63","70","64","57","63","60","61","64","67","34","40","48","2","","2","","3","","25","4","","Anonymized","Anonymized","Anonymized",10,11,"[6, 10, 8, 5, 4, 8, 9, 8, 6, 2]","[5, 12, 13, 8, 3, 10, 13, 11, 20, 14, 7]",6.6,10.5454545454545,"[2.166715, 4.100725999999998, 23.180615, 5.356830000000001, 91.933536, 13.985570000000003, 5.826876000000003, 21.993827000000003, 11.676256000000002, 508.79792999999995]","[0.4389, 0.5983, 0.8718, 0.6239, 0.6114, 0.6114, 0.2481, 0.9098, 0.8016, 0.7896, 0.7835]","[0.2023, 0.8834, 0.6124, 0.0, 0.0, -0.5423, 0.4404, 0.0, 0.6249, 0.6249]",0.662572727272727,0.2846,68.9018881,"Anonymized","Anonymized","{'PRP': 9, 'VBP': 5, 'JJ': 8, 'NNP': 6, 'VBZ': 2, 'VBD': 3, 'NN': 10, 'IN': 7, 'PRP$': 1, 'RB': 2, 'VBN': 1, 'NNS': 3, 'WP': 1, 'DT': 5, 'VBG': 2, 'VB': 1}","{'NNP': 7, 'NN': 17, 'WRB': 1, 'VBP': 10, 'PRP': 11, 'VBG': 3, 'RB': 3, ',': 3, 'IN': 13, 'VBZ': 6, 'PRP$': 3, 'VBN': 2, 'DT': 12, 'JJ': 14, 'VBD': 3, 'WP': 2, 'VB': 6, 'NNS': 4, 'MD': 1, 'EX': 1, 'TO': 2, 'CC': 2}","{'CC': 0.0, 'DT': 88.60759493670886, 'PRP': 78.06451612903226, 'PRP$': 77.77777777777779, 'WP': 97.67441860465117, 'IN': 98.62068965517241}",73.4574995172238,62.8427349256268,62.9148941223563,62.8788145239915,68.3309409888357,71.9230696839392,70.1270053363875,83.9934354386218,82.4059676938249,83.1997015662234,62.8788145239915,70.1270053363875,83.1997015662234,73.4574995172238
